TimeStamp,PLC1_InputRegisters_IW0,PLC1_MemoryRegisters_MW0,PLC1_MemoryRegisters_MW1,PLC1_Coils_QX00,PLC1_Coils_QX01,PLC1_Coils_QX02,PLC3_InputRegisters_IW0,PLC3_MemoryRegisters_MW1,PLC3_Coils_QX00,PLC3_Coils_QX02,PLC2_InputRegisters_IW0,PLC2_MemoryRegisters_MW1,PLC2_MemoryRegisters_MW2,PLC2_Coils_QX00
2022-05-03 12:16:59.228,54,40,80,0,0,0,2,10,0,0,12,10,20,0
2022-05-03 12:17:00.029,54,40,80,0,0,0,2,10,0,0,12,10,20,0
2022-05-03 12:17:00.830,54,40,80,0,0,0,2,10,0,0,11,10,20,0
2022-05-03 12:17:01.630,54,40,80,0,0,0,2,10,0,0,11,10,20,0
2022-05-03 12:17:02.432,54,40,80,0,0,0,2,10,0,0,11,10,20,0
2022-05-03 12:17:03.232,54,40,80,0,0,0,2,10,0,0,11,10,20,0
2022-05-03 12:17:04.032,54,40,80,0,0,0,2,10,0,0,11,10,20,0
2022-05-03 12:17:04.833,54,40,80,0,0,0,2,10,0,0,11,10,20,0
2022-05-03 12:17:05.633,54,40,80,0,1,1,2,10,0,0,11,10,20,1
2022-05-03 12:17:06.434,52,40,80,0,1,1,2,10,0,0,11,10,20,1
2022-05-03 12:17:07.235,51,40,80,0,1,1,2,10,0,0,12,10,20,1
2022-05-03 12:17:08.036,49,40,80,0,1,1,2,10,0,0,12,10,20,1
2022-05-03 12:17:08.836,48,40,80,0,1,1,2,10,0,0,13,10,20,1
2022-05-03 12:17:09.639,46,40,80,0,1,1,2,10,0,0,13,10,20,1
2022-05-03 12:17:10.439,45,40,80,0,1,1,2,10,0,0,14,10,20,1
2022-05-03 12:17:11.240,44,40,80,0,1,1,2,10,0,0,14,10,20,1
2022-05-03 12:17:12.039,42,40,80,0,1,1,2,10,0,0,15,10,20,1
2022-05-03 12:17:12.840,41,40,80,0,1,1,2,10,0,0,15,10,20,1
2022-05-03 12:17:13.640,40,40,80,1,1,1,2,10,0,0,15,10,20,1
2022-05-03 12:17:14.441,41,40,80,1,1,1,2,10,0,0,16,10,20,1
2022-05-03 12:17:15.342,42,40,80,1,1,1,2,10,0,0,16,10,20,1
2022-05-03 12:17:16.143,42,40,80,1,1,1,2,10,0,0,17,10,20,1
2022-05-03 12:17:16.943,43,40,80,1,1,1,2,10,0,0,17,10,20,1
2022-05-03 12:17:17.744,44,40,80,1,1,1,2,10,0,0,18,10,20,1
2022-05-03 12:17:18.544,45,40,80,1,1,1,2,10,0,0,18,10,20,1
2022-05-03 12:17:19.345,45,40,80,1,1,1,2,10,0,0,18,10,20,1
2022-05-03 12:17:20.146,46,40,80,1,1,1,2,10,0,0,19,10,20,1
2022-05-03 12:17:20.946,46,40,80,1,1,1,2,10,0,0,19,10,20,1
2022-05-03 12:17:21.747,47,40,80,1,1,1,2,10,0,0,20,10,20,0
2022-05-03 12:17:22.548,49,40,80,1,0,0,2,10,0,0,20,10,20,0
2022-05-03 12:17:23.349,51,40,80,1,0,0,2,10,0,0,20,10,20,0
2022-05-03 12:17:24.149,53,40,80,1,0,0,2,10,0,0,19,10,20,0
2022-05-03 12:17:24.950,55,40,80,1,0,0,2,10,0,0,19,10,20,0
2022-05-03 12:17:25.751,57,40,80,1,0,0,2,10,0,0,19,10,20,0
2022-05-03 12:17:26.551,59,40,80,1,0,0,2,10,0,0,19,10,20,0
2022-05-03 12:17:27.352,61,40,80,1,0,0,2,10,0,0,18,10,20,0
2022-05-03 12:17:28.153,63,40,80,1,0,0,2,10,0,0,18,10,20,0
2022-05-03 12:17:28.953,65,40,80,1,0,0,2,10,0,0,18,10,20,0
2022-05-03 12:17:29.753,67,40,80,1,0,0,2,10,0,0,18,10,20,0
2022-05-03 12:17:30.554,69,40,80,1,0,0,2,10,0,0,17,10,20,0
2022-05-03 12:17:31.355,71,40,80,1,0,0,2,10,0,0,17,10,20,0
2022-05-03 12:17:32.156,73,40,80,1,0,0,2,10,0,0,17,10,20,0
2022-05-03 12:17:32.956,75,40,80,1,0,0,2,10,0,0,17,10,20,0
2022-05-03 12:17:33.757,77,40,80,1,0,0,2,10,0,0,16,10,20,0
2022-05-03 12:17:34.558,79,40,80,1,0,0,2,10,0,0,16,10,20,0
2022-05-03 12:17:35.358,80,40,80,0,0,0,2,10,0,0,16,10,20,0
2022-05-03 12:17:36.159,80,40,80,0,0,0,2,10,0,0,16,10,20,0
2022-05-03 12:17:36.960,80,40,80,0,0,0,2,10,0,0,15,10,20,0
2022-05-03 12:17:37.761,80,40,80,0,0,0,2,10,0,0,15,10,20,0
2022-05-03 12:17:38.561,80,40,80,0,0,0,2,10,0,0,15,10,20,0
2022-05-03 12:17:39.362,80,40,80,0,0,0,2,10,0,0,15,10,20,0
2022-05-03 12:17:40.162,80,40,80,0,0,0,2,10,0,0,15,10,20,0
2022-05-03 12:17:40.963,80,40,80,0,0,0,2,10,0,0,14,10,20,0
2022-05-03 12:17:41.763,80,40,80,0,0,0,2,10,0,0,14,10,20,0
2022-05-03 12:17:42.564,80,40,80,0,0,0,2,10,0,0,14,10,20,0
2022-05-03 12:17:43.365,80,40,80,0,0,0,2,10,0,0,14,10,20,0
2022-05-03 12:17:44.165,80,40,80,0,0,0,2,10,0,0,14,10,20,0
2022-05-03 12:17:44.966,80,40,80,0,0,0,2,10,0,0,13,10,20,0
2022-05-03 12:17:45.767,80,40,80,0,0,0,2,10,0,0,13,10,20,0
2022-05-03 12:17:46.567,80,40,80,0,0,0,2,10,0,0,13,10,20,0
2022-05-03 12:17:47.368,80,40,80,0,0,0,2,10,0,0,13,10,20,0
2022-05-03 12:17:48.169,80,40,80,0,0,0,2,10,0,0,12,10,20,0
2022-05-03 12:17:48.969,80,40,80,0,0,0,2,10,0,0,12,10,20,0
2022-05-03 12:17:49.770,80,40,80,0,0,0,2,10,0,0,12,10,20,0
2022-05-03 12:17:50.571,80,40,80,0,0,0,2,10,0,0,12,10,20,0
2022-05-03 12:17:51.372,80,40,80,0,0,0,2,10,0,0,12,10,20,0
2022-05-03 12:17:52.172,80,40,80,0,0,0,2,10,0,0,11,10,20,0
2022-05-03 12:17:52.973,80,40,80,0,0,0,2,10,0,0,11,10,20,0
2022-05-03 12:17:53.773,80,40,80,0,0,0,2,10,0,0,11,10,20,0
2022-05-03 12:17:54.574,80,40,80,0,0,0,2,10,0,0,11,10,20,0
2022-05-03 12:17:55.375,80,40,80,0,0,0,2,10,0,0,11,10,20,0
2022-05-03 12:17:56.175,80,40,80,0,0,0,2,10,0,0,11,10,20,0
2022-05-03 12:17:56.976,80,40,80,0,0,0,2,10,0,0,10,10,20,1
2022-05-03 12:17:57.778,80,40,80,0,1,1,2,10,0,0,11,10,20,1
2022-05-03 12:17:58.577,78,40,80,0,1,1,2,10,0,0,11,10,20,1
2022-05-03 12:17:59.378,76,40,80,0,1,1,2,10,0,0,12,10,20,1
2022-05-03 12:18:00.179,74,40,80,0,1,1,2,10,0,0,13,10,20,1
2022-05-03 12:18:00.980,73,40,80,0,1,1,2,10,0,0,13,10,20,1
2022-05-03 12:18:01.780,71,40,80,0,1,1,2,10,0,0,14,10,20,1
2022-05-03 12:18:02.581,69,40,80,0,1,1,2,10,0,0,15,10,20,1
2022-05-03 12:18:03.381,68,40,80,0,1,1,2,10,0,0,15,10,20,1
2022-05-03 12:18:04.183,66,40,80,0,1,1,2,10,0,0,16,10,20,1
